,local_filepath,filename,label,xmin,xmax,ymin,ymax,pipe_id,dt,side,passnum,cam,video_name,frame
0,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152544_BOX_1_0_11_blue_tape.png,1000_20240515152544_BOX_1_0_11_blue_tape.png,blue_tape,660,995,1893,2144,1000,20240515152544,BOX,1,0,1000_20240515152544_BOX_1_0_11_blue_tape.png,11
1,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152552_BOX_1_0_20_blue_tape.png,1000_20240515152552_BOX_1_0_20_blue_tape.png,blue_tape,1079,1415,1862,2113,1000,20240515152552,BOX,1,0,1000_20240515152552_BOX_1_0_20_blue_tape.png,20
2,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152600_BOX_1_0_30_blue_tape.png,1000_20240515152600_BOX_1_0_30_blue_tape.png,blue_tape,1534,1870,1888,2138,1000,20240515152600,BOX,1,0,1000_20240515152600_BOX_1_0_30_blue_tape.png,30
3,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152608_BOX_1_0_40_blue_tape.png,1000_20240515152608_BOX_1_0_40_blue_tape.png,blue_tape,2005,2341,2015,2266,1000,20240515152608,BOX,1,0,1000_20240515152608_BOX_1_0_40_blue_tape.png,40
4,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152617_BOX_1_0_44_blue_tape.png,1000_20240515152617_BOX_1_0_44_blue_tape.png,blue_tape,2159,2494,2067,2317,1000,20240515152617,BOX,1,0,1000_20240515152617_BOX_1_0_44_blue_tape.png,44
5,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152625_BOX_1_0_47_blue_tape.png,1000_20240515152625_BOX_1_0_47_blue_tape.png,blue_tape,2219,2555,2128,2379,1000,20240515152625,BOX,1,0,1000_20240515152625_BOX_1_0_47_blue_tape.png,47
6,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152633_BOX_1_0_5_blue_tape.png,1000_20240515152633_BOX_1_0_5_blue_tape.png,blue_tape,404,776,1877,2151,1000,20240515152633,BOX,1,0,1000_20240515152633_BOX_1_0_5_blue_tape.png,5
7,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152642_BOX_1_0_8_blue_tape.png,1000_20240515152642_BOX_1_0_8_blue_tape.png,blue_tape,486,857,1877,2151,1000,20240515152642,BOX,1,0,1000_20240515152642_BOX_1_0_8_blue_tape.png,8
8,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152652_BOX_1_0_9_blue_tape.png,1000_20240515152652_BOX_1_0_9_blue_tape.png,blue_tape,542,914,1862,2136,1000,20240515152652,BOX,1,0,1000_20240515152652_BOX_1_0_9_blue_tape.png,9
9,c:\Users\Administrator\Desktop\notebooks-for-ml-ops\May15-tape-exp-data\1000_20240515152701_BOX_1_0_10_blue_tape.png,1000_20240515152701_BOX_1_0_10_blue_tape.png,blue_tape,593,965,1877,2151,1000,20240515152701,BOX,1,0,1000_20240515152701_BOX_1_0_10_blue_tape.png,10
